supplier_id,name,category,country,onboarded_date,years_in_business,tier,on_time_delivery_rate,avg_delivery_delay_days,defect_rate,order_volume_monthly,fulfillment_rate,return_rate,payment_delay_days,credit_score,debt_to_equity,current_ratio,revenue_growth_pct,cash_runway_months,complaints_last_90d,contract_renewal_rate,quality_audit_score,defaulted
HIST-00030,Apex Industries 0030,Food,Mexico,2020-02-05,9.0,1,0.893,2.3,0.0068,4841,0.92,0.0075,5.7,630,1.34,2.35,3.9,4.2,2,0.871,85.6,0
HIST-00031,Pearson Industries 0031,Machinery,Poland,2022-01-17,7.5,3,0.796,2.4,0.038,3970,0.858,0.1106,12.5,598,1.27,0.65,2.8,0.5,4,0.678,70.1,1
HIST-00032,Summit Holdings 0032,Logistics,Mexico,2021-12-11,13.7,2,0.88,0.6,0.0551,7528,0.912,0.036,5.2,615,0.56,0.87,-6.7,3.8,7,0.708,79.7,1
HIST-00033,Acme Group 0033,Electronics,Brazil,2020-08-12,18.6,2,0.966,1.6,0.0561,2313,0.913,0.0559,4.6,679,0.96,1.5,-10.5,2.7,4,0.938,80.0,0
HIST-00034,Cyberdyne Industries 0034,Raw Materials,Turkey,2024-02-13,16.3,1,0.872,0.9,0.0622,1298,0.818,0.0597,2.8,649,0.45,1.11,16.2,0.9,5,0.824,84.7,0
HIST-00035,Umbrella Limited 0035,Raw Materials,Japan,2024-05-19,6.3,2,0.879,0.0,0.0422,12501,0.932,0.1051,8.0,802,1.08,2.21,3.7,10.3,0,1.0,89.7,0
HIST-00036,Pied Piper Holdings 0036,Packaging,Poland,2022-10-25,13.2,2,0.799,2.6,0.0512,3629,0.925,0.0498,5.2,662,1.4,1.3,5.4,5.1,4,0.767,76.8,0
HIST-00037,Hammer Corp 0037,Chemicals,USA,2021-06-24,12.2,1,0.94,7.8,0.025,2195,0.967,0.059,16.5,699,2.01,2.12,11.3,12.0,5,1.0,81.1,0
HIST-00038,Soylent Group 0038,Packaging,Vietnam,2020-01-08,25.2,1,1.0,0.0,0.023,7066,0.96,0.0356,0.0,733,0.44,1.5,13.5,17.4,3,1.0,99.1,0
HIST-00039,Massive Dynamic Logistics 0039,Machinery,Turkey,2024-06-11,6.9,1,0.906,1.2,0.0233,23344,0.897,0.0311,9.9,670,1.26,1.36,9.2,7.1,2,0.615,83.9,0
HIST-00040,Hardman Partners 0040,Logistics,Turkey,2022-01-08,8.9,2,0.895,8.8,0.0247,3493,0.965,0.1352,0.4,647,0.25,1.03,-0.1,9.6,5,0.875,76.4,0
HIST-00041,Umbrella Worldwide 0041,Machinery,Turkey,2023-07-19,29.5,3,0.861,1.2,0.0552,1814,0.879,0.0384,3.5,707,0.41,1.59,4.7,1.1,1,0.818,90.3,0
HIST-00042,Weyland Trading 0042,Food,Poland,2024-07-07,9.2,2,0.846,2.6,0.0225,4540,0.942,0.016,3.3,757,0.93,1.32,5.0,9.4,0,0.729,96.4,0
HIST-00043,Daily Corp 0043,Logistics,Brazil,2019-08-04,5.8,2,0.812,1.5,0.0191,1148,0.895,0.0794,9.5,546,1.16,0.58,2.1,0.5,5,0.845,76.7,1
HIST-00044,Soylent LLC 0044,Machinery,Vietnam,2020-08-18,8.3,3,0.772,0.2,0.0626,1376,0.936,0.0504,12.1,705,1.23,0.83,0.6,10.6,0,0.956,81.9,0
HIST-00045,Sterling Corp 0045,Food,Vietnam,2020-12-17,8.0,2,0.981,0.0,0.0126,4711,0.962,0.0299,6.5,753,0.55,2.59,1.3,11.4,1,0.961,98.3,0
HIST-00046,Stark Logistics 0046,Raw Materials,Poland,2024-11-20,7.9,3,0.79,1.5,0.0802,2748,0.819,0.0643,25.7,588,2.06,0.73,-3.1,0.5,1,0.69,72.6,0
HIST-00047,Soylent Partners 0047,Machinery,Japan,2020-01-31,27.8,2,0.923,0.5,0.0089,4952,0.951,0.0198,3.7,767,1.19,1.84,4.6,14.2,1,0.774,93.8,0
HIST-00048,Massive Dynamic Partners 0048,Electronics,Germany,2023-12-23,6.8,1,0.855,9.6,0.0165,3697,0.911,0.0557,1.8,723,1.14,1.72,9.5,8.0,0,0.771,69.4,0
HIST-00049,Initech Solutions 0049,Food,Japan,2020-07-17,3.7,2,0.822,7.0,0.0361,8988,0.885,0.0356,18.9,682,1.35,1.14,7.8,0.5,2,0.809,82.0,0
HIST-00050,Mifflin Systems 0050,Packaging,Mexico,2022-06-13,24.4,2,0.936,6.2,0.0316,5727,1.0,0.0458,16.6,850,0.44,2.11,28.4,14.6,2,1.0,100.0,0
HIST-00051,Duff Solutions 0051,Electronics,Turkey,2023-02-21,12.9,2,0.925,5.1,0.0367,1718,1.0,0.0293,8.9,730,0.61,2.85,14.0,14.4,2,0.866,92.0,0
HIST-00052,Cortex Group 0052,Packaging,Turkey,2021-03-31,15.7,1,0.823,0.6,0.0361,12116,0.828,0.1094,8.5,628,1.59,1.15,-3.0,0.5,3,0.778,76.9,0
HIST-00053,Stark Systems 0053,Raw Materials,Japan,2019-06-07,12.9,3,0.864,2.6,0.0204,1214,0.969,0.0291,10.3,687,2.04,0.84,6.9,3.5,1,0.873,89.6,0
HIST-00054,Daily Trading 0054,Electronics,Mexico,2024-06-15,15.3,2,0.953,2.3,0.027,8721,0.937,0.0511,0.0,706,0.39,2.67,11.6,12.4,1,0.887,100.0,0
HIST-00055,Summit LLC 0055,Raw Materials,India,2022-01-04,17.0,2,0.935,1.4,0.0213,16664,0.898,0.0773,6.0,664,0.18,2.35,7.0,0.5,3,0.787,83.2,0
HIST-00056,Cyberdyne Holdings 0056,Chemicals,Japan,2019-02-16,13.3,2,0.843,2.7,0.009,5297,0.961,0.0119,4.8,727,0.05,2.21,9.9,12.3,0,0.933,93.3,0
HIST-00057,Cortex Corp 0057,Logistics,China,2018-04-09,3.5,2,0.847,1.4,0.016,2186,0.957,0.0911,7.9,758,1.72,1.27,3.9,10.5,7,0.95,85.2,0
HIST-00058,Dunder Logistics 0058,Logistics,Turkey,2018-05-07,11.7,1,0.869,1.4,0.0454,229,0.909,0.0251,3.3,743,0.58,1.44,12.5,15.3,3,0.963,97.1,0
HIST-00059,Genco Solutions 0059,Logistics,Turkey,2021-11-19,5.6,3,0.985,1.4,0.0333,3046,0.987,0.088,2.1,741,0.05,2.7,8.4,13.5,1,0.949,97.2,0
HIST-00060,Oscorp Trading 0060,Raw Materials,Brazil,2018-05-26,13.7,3,0.756,6.7,0.0401,4629,0.958,0.0324,22.5,628,0.52,0.74,4.9,8.5,3,0.801,73.8,0
HIST-00061,Cortex Worldwide 0061,Logistics,China,2022-06-15,11.8,2,0.959,0.0,0.0292,3733,0.901,0.0622,3.4,794,0.74,1.7,6.9,10.5,1,0.866,85.8,0
HIST-00062,Acme Holdings 0062,Packaging,Vietnam,2023-07-27,26.0,2,0.817,2.6,0.0172,1772,0.86,0.0223,6.2,651,0.66,1.31,4.8,6.4,4,0.818,78.7,0
HIST-00063,Apex Industries 0063,Chemicals,USA,2024-05-08,5.9,2,0.936,2.0,0.0233,12636,0.893,0.0829,8.4,744,1.25,1.58,-0.2,9.3,3,0.901,66.4,0
HIST-00064,Vortex Partners 0064,Logistics,Poland,2024-05-07,5.5,2,0.778,1.2,0.0379,6808,0.866,0.0939,5.0,687,2.15,0.69,-4.0,4.7,3,0.661,63.7,0
HIST-00065,Summit LLC 0065,Raw Materials,Brazil,2022-12-26,5.3,1,0.858,10.6,0.0183,3546,0.945,0.0384,9.5,721,0.7,1.9,2.3,4.3,6,0.824,77.4,0
HIST-00066,Sterling Partners 0066,Logistics,India,2021-05-03,16.0,2,0.867,3.4,0.0556,13293,0.921,0.1844,16.0,660,1.21,2.11,6.3,5.5,5,0.864,70.5,0
HIST-00067,Umbrella Trading 0067,Logistics,Poland,2024-04-03,5.1,2,0.92,5.5,0.0043,1518,0.985,0.034,5.1,765,0.5,1.55,8.9,13.2,0,0.997,85.2,0
HIST-00068,Oscorp International 0068,Packaging,Turkey,2024-03-28,5.4,2,0.918,0.6,0.0166,12284,0.968,0.0443,0.0,822,0.54,1.7,11.9,13.2,1,1.0,88.5,0
HIST-00069,Sterling Industries 0069,Raw Materials,Germany,2021-08-13,17.4,2,0.843,2.0,0.0179,2359,0.922,0.1042,13.4,526,2.36,0.9,-10.4,2.1,5,0.747,74.0,0
HIST-00070,Zenith Limited 0070,Raw Materials,Brazil,2024-05-11,4.6,2,0.9,0.8,0.022,8924,0.953,0.0211,3.6,614,0.43,1.75,4.7,2.0,7,0.848,81.9,0
HIST-00071,Tyrell Systems 0071,Raw Materials,Vietnam,2020-10-29,3.3,3,0.923,0.9,0.0375,2362,0.88,0.1379,1.4,715,0.53,1.94,8.8,10.4,0,0.968,87.6,0
HIST-00072,Apex Partners 0072,Machinery,Vietnam,2023-04-27,5.3,1,0.772,10.5,0.0498,2129,0.798,0.1424,6.5,556,2.07,0.39,-6.4,0.5,3,0.602,74.4,1
HIST-00073,Apex Trading 0073,Chemicals,Vietnam,2019-08-07,11.9,2,0.738,0.6,0.0515,7693,0.814,0.0584,2.2,704,1.42,1.17,-2.9,9.8,5,0.765,74.9,0
HIST-00074,Acme Worldwide 0074,Textiles,Vietnam,2019-04-19,3.9,2,0.871,2.0,0.0421,6697,0.917,0.0627,2.1,678,0.86,1.61,-2.3,8.8,6,0.88,83.3,0
HIST-00075,Soylent LLC 0075,Food,Germany,2024-08-28,11.2,2,0.766,0.8,0.0286,2603,0.95,0.0317,0.2,759,0.86,2.1,7.6,15.5,4,0.996,86.5,0
HIST-00076,Vertex Industries 0076,Food,USA,2022-11-07,6.6,3,0.914,1.8,0.0216,2244,0.945,0.1753,3.5,691,0.05,2.01,10.9,12.8,0,0.797,89.9,0
HIST-00077,Globex Group 0077,Raw Materials,Poland,2022-08-07,19.3,1,0.92,1.8,0.0404,811,0.91,0.022,14.1,665,1.44,1.09,9.9,7.6,4,0.762,86.1,0
HIST-00078,Gringotts Partners 0078,Electronics,Japan,2018-01-10,9.6,1,0.81,14.4,0.0236,1175,0.873,0.0424,23.6,728,1.58,2.1,11.2,5.9,3,0.811,77.2,0
HIST-00079,Zenith International 0079,Machinery,Poland,2019-05-22,31.6,3,0.861,0.5,0.0298,9296,0.924,0.0417,5.1,642,0.85,1.22,2.2,7.8,4,0.965,87.6,0
HIST-00080,Mifflin International 0080,Logistics,Japan,2022-02-02,10.2,1,0.937,17.5,0.0343,8618,0.972,0.0179,1.2,825,1.0,2.75,15.5,16.2,0,1.0,90.5,0
HIST-00081,Wayne Worldwide 0081,Raw Materials,Poland,2024-12-14,6.1,2,0.923,1.2,0.0385,5281,0.895,0.0486,12.8,738,0.99,0.93,-4.6,9.3,9,0.824,90.0,0
HIST-00082,Sterling Logistics 0082,Machinery,Japan,2020-08-18,11.4,1,0.84,0.2,0.0051,1831,0.92,0.0124,4.6,747,1.96,1.0,1.1,10.4,4,0.888,93.2,0
HIST-00083,Summit LLC 0083,Packaging,China,2020-05-10,9.4,2,0.838,9.0,0.0223,1792,0.98,0.0191,9.8,755,0.66,1.69,8.1,14.6,2,0.876,92.0,0
HIST-00084,Stark Corp 0084,Chemicals,Brazil,2024-04-15,7.4,3,0.795,1.0,0.0517,13437,0.91,0.0652,3.1,720,0.41,2.08,16.2,9.1,5,0.858,90.0,0
HIST-00085,Pinnacle Group 0085,Food,Mexico,2018-05-20,41.3,2,0.874,6.6,0.0263,10219,0.947,0.0145,2.3,631,2.09,1.13,14.6,3.9,3,0.738,88.1,0
HIST-00086,Dunder Group 0086,Textiles,India,2023-09-18,24.0,2,0.753,2.6,0.0605,6668,0.805,0.0947,6.7,680,1.68,0.96,-5.0,0.5,2,0.661,93.0,0
HIST-00087,Hooli Logistics 0087,Machinery,Germany,2020-02-26,21.0,1,1.0,0.4,0.0275,439,0.896,0.0483,6.2,661,1.45,1.47,-2.6,10.0,4,0.718,95.4,0
HIST-00088,Oscorp International 0088,Electronics,Mexico,2024-08-24,21.2,2,0.826,0.4,0.0308,5136,0.94,0.0707,10.7,723,0.46,1.84,-0.4,9.1,4,0.889,76.4,0
HIST-00089,Spacely Manufacturing 0089,Food,China,2024-08-10,5.5,1,1.0,1.0,0.0752,1578,0.954,0.0476,23.3,796,0.2,1.96,10.8,14.4,1,0.943,86.3,0
HIST-00090,Weyland Group 0090,Packaging,Germany,2019-07-07,7.4,1,0.916,5.2,0.0214,7872,0.974,0.0983,20.6,699,1.81,1.71,4.5,7.4,0,0.956,100.0,0
HIST-00091,Spacely Trading 0091,Food,Mexico,2024-09-09,4.5,2,0.85,2.3,0.0068,1608,0.947,0.0075,2.6,697,1.07,1.39,-1.1,6.9,2,0.887,83.2,0
HIST-00092,Wayne Tech Worldwide 0092,Food,Germany,2022-11-02,21.6,2,0.862,1.3,0.0405,1293,0.962,0.0596,3.5,678,0.05,1.78,10.8,8.2,2,0.827,80.2,0
HIST-00093,Pied Piper Industries 0093,Logistics,Germany,2021-08-27,31.6,2,0.808,0.9,0.038,4269,0.931,0.1081,10.1,738,1.11,0.78,1.0,5.2,5,0.794,79.0,0
HIST-00094,Sterling Trading 0094,Machinery,India,2023-05-05,8.4,1,0.978,0.7,0.0218,1328,1.0,0.0206,6.1,757,0.23,2.32,16.7,13.6,0,0.875,97.4,0
HIST-00095,Oscorp Logistics 0095,Packaging,Mexico,2023-06-15,10.5,2,0.94,5.1,0.0252,5606,0.887,0.0817,11.3,713,0.59,1.44,5.1,9.7,6,0.715,87.4,0
HIST-00096,Acme Manufacturing 0096,Logistics,Poland,2024-09-10,8.3,3,0.875,13.1,0.0206,3891,0.895,0.032,0.6,748,1.29,1.83,11.6,9.0,1,0.933,81.9,0
HIST-00097,Zenith Industries 0097,Raw Materials,USA,2020-02-03,13.9,2,0.753,1.5,0.0187,2299,0.856,0.0443,4.8,672,1.36,0.22,-3.6,1.5,6,0.768,79.1,0
HIST-00098,Pied Piper International 0098,Packaging,Poland,2021-08-29,12.1,1,0.93,6.6,0.0033,2707,0.936,0.0124,19.1,756,2.03,1.65,12.6,8.2,1,0.925,82.2,0
HIST-00099,Dunder Group 0099,Packaging,China,2024-12-08,13.6,3,0.709,4.5,0.0694,5699,0.75,0.0707,8.3,556,2.21,0.45,-9.8,0.5,4,0.695,68.3,1
HIST-00100,Bluth Logistics 0100,Packaging,India,2023-01-25,15.3,1,0.641,1.5,0.0316,3808,0.849,0.0552,8.2,512,1.69,0.29,-10.6,0.5,5,0.708,62.5,1
HIST-00101,Daily Solutions 0101,Chemicals,Mexico,2021-09-03,12.2,2,0.862,1.3,0.0712,5177,0.837,0.0826,7.0,633,1.31,1.47,8.1,5.9,3,0.783,83.5,0
HIST-00102,Weyland Worldwide 0102,Electronics,Japan,2018-05-15,9.4,2,0.722,8.7,0.0365,1950,0.849,0.0418,5.2,730,1.45,0.95,-6.3,6.6,0,0.703,88.0,0
HIST-00103,Wayne Tech Trading 0103,Food,Japan,2024-04-30,24.3,3,0.811,2.2,0.028,9626,0.914,0.0928,9.8,724,1.29,2.28,12.1,4.5,1,0.98,85.9,0
HIST-00104,Tyrell Industries 0104,Machinery,Turkey,2018-04-12,14.6,3,0.955,0.0,0.0309,4330,1.0,0.0455,11.1,850,0.05,2.61,26.3,15.2,1,1.0,100.0,0
HIST-00105,Wonka Manufacturing 0105,Electronics,Mexico,2022-09-20,6.3,3,0.775,0.7,0.0559,3082,0.856,0.1024,2.6,620,1.74,1.37,-3.2,11.6,3,0.733,78.5,0
HIST-00106,Vertex Group 0106,Logistics,Turkey,2022-01-13,26.1,2,0.823,0.4,0.0147,7302,0.883,0.0228,9.6,685,0.06,1.47,0.1,9.6,5,0.894,75.5,0
HIST-00107,Mifflin Partners 0107,Chemicals,USA,2018-08-02,10.6,3,0.941,0.5,0.0216,3670,0.917,0.0155,0.8,743,0.4,1.15,10.3,6.0,1,1.0,87.4,0
HIST-00108,Dunder Systems 0108,Raw Materials,Turkey,2021-03-16,19.5,1,0.981,0.0,0.0166,4266,0.875,0.0257,5.1,740,0.89,1.69,11.0,9.5,0,0.839,93.5,0
HIST-00109,Tyrell International 0109,Food,Vietnam,2021-02-14,10.6,2,0.95,0.6,0.0261,2578,0.985,0.0649,4.6,656,1.79,1.27,4.4,9.8,5,0.873,86.7,0
HIST-00110,Massive Dynamic Corp 0110,Chemicals,Vietnam,2024-06-01,30.6,2,0.872,4.2,0.0503,3364,0.907,0.0955,2.7,686,1.27,0.79,2.4,7.5,6,0.969,85.9,0
HIST-00111,Yutani Trading 0111,Food,Poland,2021-08-18,30.6,2,0.918,0.9,0.0361,3552,0.996,0.0796,10.8,779,0.05,2.43,7.3,12.6,0,1.0,99.7,0
HIST-00112,Roxxon Industries 0112,Food,Vietnam,2018-11-04,11.4,3,0.97,0.1,0.0153,11768,0.947,0.0786,11.8,689,0.39,2.07,-1.3,8.6,2,0.988,85.4,0
HIST-00113,Roxxon Manufacturing 0113,Machinery,Mexico,2019-08-31,10.1,1,0.811,1.3,0.0117,5674,0.897,0.0305,28.0,584,0.92,1.43,-2.1,2.6,7,0.838,66.8,1
HIST-00114,Umbrella Holdings 0114,Machinery,Germany,2022-07-04,9.1,2,0.885,0.5,0.0231,1903,0.912,0.026,24.9,718,0.82,1.33,-3.9,12.4,2,0.812,87.7,0
HIST-00115,Acme Systems 0115,Logistics,Mexico,2020-10-09,15.5,2,0.879,15.6,0.017,2524,0.99,0.0209,2.2,726,0.65,1.9,2.5,12.1,1,0.798,80.9,0
HIST-00116,Bugle LLC 0116,Logistics,USA,2020-01-06,16.1,1,0.864,11.3,0.0172,3619,0.831,0.0354,3.6,630,0.71,1.74,-1.5,0.5,4,0.732,85.2,0
HIST-00117,Bluth Supply Co 0117,Logistics,Germany,2020-01-08,2.5,2,0.918,2.4,0.0447,657,0.987,0.0398,0.0,694,1.69,2.08,6.7,9.7,2,0.784,91.3,0
HIST-00118,Pinnacle Limited 0118,Packaging,Vietnam,2023-06-02,5.6,3,0.804,0.6,0.036,1263,0.908,0.091,9.1,646,0.95,1.15,7.2,3.1,1,0.785,81.8,0
HIST-00119,Apex Corp 0119,Textiles,Brazil,2021-06-17,25.7,1,0.996,0.0,0.0083,2909,1.0,0.0191,0.5,723,0.7,2.69,9.1,17.8,1,0.927,92.2,0
HIST-00120,Nakatomi Trading 0120,Chemicals,Turkey,2020-06-09,12.6,3,0.8,4.2,0.0166,9290,0.872,0.0736,5.5,706,1.21,2.33,5.1,9.1,2,0.943,78.3,0
HIST-00121,Stark Corp 0121,Logistics,Germany,2023-09-24,2.3,2,0.903,0.1,0.0279,405,0.854,0.0746,3.8,666,0.61,1.09,7.6,12.3,1,0.799,78.0,0
HIST-00122,Acme Group 0122,Textiles,Mexico,2021-04-10,11.3,2,0.779,5.5,0.0128,2818,0.893,0.0953,5.2,621,1.5,1.42,-4.8,4.0,5,0.907,75.3,0
HIST-00123,Apex Manufacturing 0123,Raw Materials,Turkey,2019-05-18,6.4,1,0.957,1.1,0.0683,3415,0.875,0.0588,2.6,706,1.23,1.73,1.0,8.4,3,0.785,76.0,0
HIST-00124,Duff Solutions 0124,Machinery,Poland,2019-10-16,8.2,3,0.797,3.1,0.0348,1168,0.85,0.0801,18.6,594,1.67,0.29,-11.5,0.5,10,0.55,71.6,1
HIST-00125,Daily LLC 0125,Raw Materials,India,2019-01-18,5.4,2,0.801,2.2,0.0552,683,0.822,0.0641,3.4,600,1.83,0.37,-6.7,1.1,2,0.638,70.9,1
HIST-00126,Bugle Industries 0126,Machinery,India,2020-01-27,8.3,2,0.858,2.0,0.0213,2543,0.948,0.0985,4.6,767,0.96,1.79,4.9,10.3,1,0.774,95.0,0
HIST-00127,Rand International 0127,Chemicals,Mexico,2024-02-16,4.9,1,0.792,5.4,0.0316,1034,0.816,0.0485,6.8,555,2.19,0.43,-6.1,0.5,6,0.579,71.4,1
HIST-00128,Vertex Trading 0128,Chemicals,USA,2020-11-28,7.7,3,0.914,4.3,0.0382,3454,0.857,0.0286,0.1,814,1.06,1.66,9.2,16.9,0,0.899,75.5,0
HIST-00129,Soylent Systems 0129,Electronics,Turkey,2021-03-29,5.9,3,0.664,1.6,0.0326,9899,0.814,0.0274,18.1,589,2.64,0.52,-5.2,0.5,5,0.628,69.4,0
HIST-00130,Dunder Solutions 0130,Raw Materials,Brazil,2024-10-24,19.1,3,0.819,0.5,0.0218,7550,0.938,0.0544,6.8,747,1.03,2.69,15.2,14.1,0,0.915,94.9,0
HIST-00131,Acme Partners 0131,Packaging,Brazil,2018-01-16,8.6,3,0.852,3.3,0.026,1030,0.925,0.0898,4.2,645,2.26,0.84,1.7,6.9,6,0.974,71.3,0
HIST-00132,Oscorp Trading 0132,Food,Turkey,2020-11-17,12.8,1,0.926,5.6,0.0114,3846,1.0,0.026,1.2,683,1.3,2.2,10.5,11.5,0,0.975,92.2,0
HIST-00133,Tyrell Systems 0133,Food,Germany,2020-01-07,6.9,3,0.771,2.7,0.0561,8383,0.811,0.0858,26.1,798,1.57,1.89,9.2,8.2,0,0.827,87.1,0
HIST-00134,Black Mesa Trading 0134,Machinery,Turkey,2019-09-08,17.7,1,0.692,2.4,0.037,735,0.866,0.1288,6.4,654,1.48,1.03,-2.6,0.5,4,0.691,74.6,0
HIST-00135,Spacely Group 0135,Raw Materials,Turkey,2018-11-22,12.5,1,0.936,2.5,0.0393,2899,1.0,0.0748,23.4,770,0.56,1.86,18.3,18.3,0,1.0,99.3,0
HIST-00136,Wayne Tech Supply Co 0136,Food,China,2024-04-04,7.8,3,0.809,1.3,0.0538,1326,0.913,0.07,0.0,764,0.11,1.94,13.0,21.0,3,0.918,90.1,0
HIST-00137,Tyrell Worldwide 0137,Packaging,Turkey,2022-10-30,21.3,3,0.843,10.6,0.0568,5120,0.911,0.104,4.3,648,0.63,2.48,2.6,4.7,3,0.792,88.7,0
